symbol,close,dateTimeUtc,dateTimeEst
ZRXUSDT,0.2113,2023-10-14 23:00:00,2023-10-14 18:00:00
ZILUSDT,0.01633,2023-10-14 23:00:00,2023-10-14 18:00:00
ZENUSDT,7.36,2023-10-14 23:00:00,2023-10-14 18:00:00
ZECUSDT,24.95,2023-10-14 23:00:00,2023-10-14 18:00:00
YGGUSDT,0.2318,2023-10-14 23:00:00,2023-10-14 18:00:00
YFIUSDT,5111.0,2023-10-14 23:00:00,2023-10-14 18:00:00
XVSUSDT,4.66,2023-10-14 23:00:00,2023-10-14 18:00:00
XVGUSDT,0.00329,2023-10-14 23:00:00,2023-10-14 18:00:00
XTZUSDT,0.656,2023-10-14 23:00:00,2023-10-14 18:00:00
XRPUSDT,0.4865,2023-10-14 23:00:00,2023-10-14 18:00:00
XNOUSDT,0.605,2023-10-14 23:00:00,2023-10-14 18:00:00
XMRUSDT,152.8,2023-10-14 23:00:00,2023-10-14 18:00:00
XLMUSDT,0.1043,2023-10-14 23:00:00,2023-10-14 18:00:00
XEMUSDT,0.02494,2023-10-14 23:00:00,2023-10-14 18:00:00
XECUSDT,2.39e-05,2023-10-14 23:00:00,2023-10-14 18:00:00
WTCUSDT,0.15,2023-10-14 23:00:00,2023-10-14 18:00:00
WRXUSDT,0.092,2023-10-14 23:00:00,2023-10-14 18:00:00
WOOUSDT,0.1766,2023-10-14 23:00:00,2023-10-14 18:00:00
WNXMUSDT,29.4,2023-10-14 23:00:00,2023-10-14 18:00:00
WLDUSDT,1.499,2023-10-14 23:00:00,2023-10-14 18:00:00
WINUSDT,5.95e-05,2023-10-14 23:00:00,2023-10-14 18:00:00
WINGUSDT,5.46,2023-10-14 23:00:00,2023-10-14 18:00:00
WBTCUSDT,26881.85,2023-10-14 23:00:00,2023-10-14 18:00:00
WBETHUSDT,1582.95,2023-10-14 23:00:00,2023-10-14 18:00:00
WAXPUSDT,0.0481,2023-10-14 23:00:00,2023-10-14 18:00:00
WAVESUSDT,1.476,2023-10-14 23:00:00,2023-10-14 18:00:00
WANUSDT,0.1705,2023-10-14 23:00:00,2023-10-14 18:00:00
VTHOUSDT,0.001115,2023-10-14 23:00:00,2023-10-14 18:00:00
VOXELUSDT,0.1361,2023-10-14 23:00:00,2023-10-14 18:00:00
VITEUSDT,0.01154,2023-10-14 23:00:00,2023-10-14 18:00:00
VIDTUSDT,0.01727,2023-10-14 23:00:00,2023-10-14 18:00:00
VIBUSDT,0.04442,2023-10-14 23:00:00,2023-10-14 18:00:00
VGXUSDT,0.1145,2023-10-14 23:00:00,2023-10-14 18:00:00
VETUSDT,0.01638,2023-10-14 23:00:00,2023-10-14 18:00:00
UTKUSDT,0.0521,2023-10-14 23:00:00,2023-10-14 18:00:00
USTCUSDT,0.01116674,2023-10-14 23:00:00,2023-10-14 18:00:00
UNIUSDT,4.084,2023-10-14 23:00:00,2023-10-14 18:00:00
